INFO:root:episode:3400 e_greed:0.1725039999999725 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [2, 5], [1, 1], [0, 7], [3, 3], [0, 4]]
INFO:root:episode:3450 e_greed:0.1721039999999721 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [0, 2], [3, 3], [0, 7], [2, 5], [0, 4]]
INFO:root:episode:3500 e_greed:0.1717039999999717 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [0, 2], [3, 3], [0, 7], [1, 1], [0, 4]]
INFO:root:episode:3550 e_greed:0.1713039999999713 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [0, 7], [2, 5], [3, 3], [1, 1], [0, 4]]
INFO:root:episode:3600 e_greed:0.1709039999999709 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [1, 1], [3, 3], [0, 7], [2, 5], [0, 4]]
INFO:root:episode:3650 e_greed:0.1705039999999705 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [0, 2], [3, 3], [2, 5], [0, 7], [0, 4]]
INFO:root:episode:3700 e_greed:0.1701039999999701 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 7], [1, 1], [0, 2], [3, 3], [2, 5], [0, 4]]
INFO:root:episode:3750 e_greed:0.1697039999999697 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [3, 3], [1, 1], [0, 7], [0, 2], [0, 4]]
INFO:root:episode:3800 e_greed:0.1693039999999693 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [0, 2], [1, 1], [0, 7], [3, 3], [0, 4]]
INFO:root:episode:3850 e_greed:0.1689039999999689 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [0, 2], [2, 5], [0, 7], [3, 3], [0, 4]]
INFO:root:episode:3900 e_greed:0.1685039999999685 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [2, 5], [3, 3], [0, 7], [0, 2], [0, 4]]
INFO:root:episode:3950 e_greed:0.1681039999999681 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [2, 5], [3, 3], [0, 7], [0, 2], [0, 4]]
INFO:root:episode:4000 e_greed:0.1677039999999677 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [2, 5], [3, 3], [0, 7], [0, 2], [0, 4]]
INFO:root:episode:4050 e_greed:0.1673039999999673 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [3, 3], [0, 7], [0, 2], [0, 4]]
INFO:root:episode:4100 e_greed:0.1669039999999669 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [0, 2], [3, 3], [2, 5], [0, 7], [0, 4]]
INFO:root:episode:4150 e_greed:0.1665039999999665 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [3, 3], [0, 7], [2, 5], [0, 2], [3, 4]]
INFO:root:episode:4200 e_greed:0.1661039999999661 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [3, 3], [1, 1], [2, 5], [0, 2], [0, 7], [1, 4]]
INFO:root:episode:4250 e_greed:0.1657039999999657 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [2, 5], [3, 3], [0, 2], [0, 7], [0, 4]]
INFO:root:episode:4300 e_greed:0.1653039999999653 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [1, 1], [3, 3], [0, 2], [0, 7], [3, 4]]
INFO:root:episode:4350 e_greed:0.1649039999999649 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [2, 5], [3, 3], [0, 2], [0, 7], [3, 4]]
INFO:root:episode:4400 e_greed:0.1645039999999645 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [0, 2], [2, 5], [3, 3], [0, 7], [3, 4]]
INFO:root:episode:4450 e_greed:0.1641039999999641 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [2, 5], [3, 3], [0, 7], [0, 2], [0, 4]]
INFO:root:episode:4500 e_greed:0.1637039999999637 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [0, 2], [2, 5], [3, 3], [0, 7], [3, 4]]
INFO:root:episode:4550 e_greed:0.1633039999999633 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [2, 5], [3, 3], [0, 2], [0, 7], [0, 4]]
INFO:root:episode:4600 e_greed:0.1629039999999629 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [1, 1], [3, 3], [2, 5], [0, 2], [0, 7], [3, 4]]
